,PC6,M_INKHH
8100,1066HE,10
8101,1066HG,8
8102,1066HH,5
8103,1066HJ,8
8104,1066HP,7
8105,1066HR,9
8106,1066HS,7
8107,1066HT,4
8108,1066HV,7
8109,1066HW,7
8110,1066HX,7
8111,1066HZ,9
8112,1066JA,8
8113,1066JB,9
8114,1066JC,8
8115,1066JD,9
8116,1066JE,9
8117,1066JG,9
8118,1066JH,7
8119,1066JJ,8
8120,1066JK,8
8121,1066JL,7
8122,1066JN,9
8123,1066JP,8
8124,1066JR,8
8125,1066JS,2
8126,1066JT,8
8127,1066JV,8
8128,1066JW,9
8129,1066JX,9
8130,1066JZ,10
8131,1066KA,11
8132,1066KB,8
8133,1066KC,10
8134,1066KD,8
8135,1066KE,9
8136,1066KG,8
8137,1066KH,8
8138,1066KJ,8
8139,1066KK,7
8140,1066KL,7
8141,1066KM,7
8142,1066KR,2
8143,1066KS,7
8144,1066KT,5
8145,1066KV,5
8146,1066KW,4
8147,1066KX,5
8148,1066KZ,9
8149,1066LA,9
8150,1066LB,9
8151,1066LC,9
8152,1066LD,5
8153,1066LE,9
8154,1066LG,9
8155,1066LK,8
8156,1066LL,9
8157,1066LN,8
8158,1066LP,4
8159,1066LS,8
8160,1066LT,9
8161,1066LV,2
8162,1066LW,5
8163,1066LX,8
8164,1066LZ,10
8165,1066MA,9
8166,1066MC,2
8167,1066MD,5
8168,1066MG,8
8169,1066MH,4
8170,1066MJ,4
8171,1066MK,10
8172,1066ML,7
8173,1066MN,4
8174,1066MP,7
8175,1066MR,9
8176,1066MS,4
8177,1066MT,4
8178,1066MV,4
8179,1066MX,5
8180,1066MZ,9
8181,1066NB,8
8182,1066NC,8
8183,1066ND,8
8184,1066NE,7
8185,1066NG,8
8186,1066NH,8
8187,1066NJ,8
8188,1066NK,11
8189,1066NL,9
8190,1066NM,8
8191,1066NN,9
8192,1066NP,9
8193,1066NR,8
8194,1066NS,8
8195,1066NT,10
8196,1066NV,10
8197,1066NW,7
8198,1066NX,8
8199,1066PA,8
8200,1066PB,8
8201,1066PC,9
8202,1066PD,5
8203,1066PJ,7
8204,1066PK,8
8205,1066PL,8
8206,1066PM,2
8207,1066PN,4
8208,1066PR,5
8209,1066PS,5
8210,1066PV,8
8211,1066PW,8
8212,1066PX,10
8213,1066PZ,8
8214,1066RA,9
8215,1066RB,9
8216,1066RC,8
8217,1066SB,8
8218,1066SC,8
8219,1066SE,9
8220,1066SG,7
8221,1066SH,5
8222,1066SJ,8
8223,1066SK,4
8224,1066SL,9
8225,1066SN,5
8226,1066SP,5
8227,1066SR,8
8228,1066ST,10
8229,1066SW,10
8230,1066SX,8
8231,1066TA,9
8232,1066TB,9
8233,1066TC,11
8234,1066TE,10
8235,1066TH,9
8236,1066TJ,9
8237,1066TK,9
8238,1066TL,8
8239,1066TM,8
8240,1066TW,9
8241,1066TX,9
8242,1066TZ,8
8243,1066VC,2
8244,1066VE,5
8245,1066WB,8
8246,1066WC,9
8247,1066WD,9
8248,1066WE,8
8249,1066WH,9
8250,1066WJ,9
8251,1066WK,9
8252,1066WL,8
8253,1066WN,10
8254,1066WP,10
8255,1066WR,8
8256,1066WS,8
8257,1066WT,10
8258,1066WV,10
8259,1066WX,11
8260,1066XL,5
8261,1066XM,2
8262,1066XN,2
8263,1066XP,2
8264,1066XR,2
8265,1066XS,2
8266,1066XT,7
8267,1066XV,2
8268,1066XW,2
8269,1066XX,2
8270,1066XZ,2
8271,1067AA,5
8272,1067AB,4
8273,1067AC,4
8274,1067AD,5
8275,1067AE,4
8276,1067AG,8
8277,1067AH,5
8278,1067AJ,5
8279,1067AK,2
8280,1067AL,2
8281,1067AM,4
8282,1067AN,5
8283,1067AP,5
8284,1067AR,5
8285,1067AS,2
8286,1067AT,5
8287,1067AV,5
8288,1067AW,2
8289,1067AX,5
8290,1067AZ,5
8291,1067BA,5
8292,1067BC,8
8293,1067BD,5
8294,1067BE,5
8295,1067BG,5
8296,1067BH,5
8297,1067BJ,5
8298,1067BL,7
8299,1067BM,4
8300,1067BN,5
8301,1067BP,8
8302,1067BR,2
8303,1067BS,2
8304,1067BT,2
8305,1067BV,2
8306,1067BW,2
8307,1067BX,2
8308,1067CA,2
8309,1067CB,1
8310,1067CD,2
8311,1067CE,2
8312,1067CH,4
8313,1067CP,7
8314,1067DB,7
8315,1067DC,8
8316,1067DE,4
8317,1067DG,8
8318,1067DH,5
8319,1067DJ,8
8320,1067DX,8
8321,1067DZ,7
8322,1067EH,4
8323,1067EM,4
8324,1067EP,4
8325,1067ER,1
8326,1067ES,2
8327,1067ET,2
8328,1067EV,2
8329,1067EW,2
8330,1067EX,2
8331,1067EZ,2
8332,1067GE,2
8333,1067GJ,2
8334,1067GK,2
8335,1067GL,5
8336,1067GM,7
8337,1067GN,2
8338,1067GP,2
8339,1067GR,2
8340,1067GS,2
8341,1067GT,2
8342,1067GV,2
8343,1067GW,3
8344,1067GX,2
8345,1067GZ,2
8346,1067HA,2
8347,1067HB,2
8348,1067HC,2
8349,1067HD,4
8350,1067HE,2
8351,1067HG,4
8352,1067HH,5
8353,1067HJ,2
8354,1067HK,2
8355,1067HL,2
8356,1067HM,2
8357,1067HN,2
8358,1067HP,5
8359,1067HX,8
8360,1067JB,5
8361,1067JC,5
8362,1067JD,5
8363,1067JE,2
8364,1067JG,5
8365,1067JH,2
8366,1067JJ,2
8367,1067JK,5
8368,1067JL,5
8369,1067JR,8
8370,1067JS,8
8371,1067JT,2
8372,1067JV,2
8373,1067JX,1
8374,1067KA,2
8375,1067KB,1
8376,1067KC,2
8377,1067KD,2
8378,1067KE,2
8379,1067KG,1
8380,1067KH,5
8381,1067KJ,2
8382,1067KK,2
8383,1067KL,4
8384,1067KM,2
8385,1067KN,2
8386,1067KP,2
8387,1067KR,2
8388,1067KS,2
8389,1067KT,2
8390,1067KV,7
8391,1067LB,2
8392,1067LC,5
8393,1067LD,5
8394,1067LE,2
8395,1067LG,2
8396,1067LH,5
8397,1067LJ,5
8398,1067LK,5
8399,1067LL,5
8400,1067LM,5
8401,1067LP,2
8402,1067LS,2
8403,1067LT,2
8404,1067LV,5
8405,1067LX,5
8406,1067LZ,8
8407,1067MB,9
8408,1067ME,8
8409,1067MG,10
8410,1067MH,5
8411,1067MJ,5
8412,1067MK,7
8413,1067ML,5
8414,1067MN,4
8415,1067MT,8
8416,1067MX,4
8417,1067NA,4
8418,1067NB,5
8419,1067NC,2
8420,1067ND,2
8421,1067NE,2
8422,1067NG,2
8423,1067NH,7
8424,1067NK,2
8425,1067NL,2
8426,1067NM,2
8427,1067NN,2
8428,1067NP,5
8429,1067NR,5
8430,1067NS,2
8431,1067NT,2
8432,1067NV,2
8433,1067NW,1
8434,1067PC,5
8435,1067PD,4
8436,1067PE,2
8437,1067PG,1
8438,1067PH,2
8439,1067PJ,4
8440,1067PK,5
8441,1067PL,5
8442,1067PM,5
8443,1067PN,5
8444,1067PP,4
8445,1067PT,5
8446,1067PV,4
8447,1067PW,5
8448,1067PZ,5
8449,1067RC,2
8450,1067RG,5
8451,1067RH,5
8452,1067RK,5
8453,1067RL,3
8454,1067RV,5
8455,1067RW,2
8456,1067RX,5
8457,1067RZ,2
8458,1067SB,8
8459,1067SC,5
8460,1067SE,2
8461,1067SG,5
8462,1067SH,4
8463,1067SR,8
8464,1067ST,5
8465,1067SV,5
8466,1067SW,8
8467,1067SX,4
8468,1067SZ,10
8469,1067TA,11
8470,1067TB,8
8471,1067TC,10
8472,1067TD,10
8473,1067TE,7
8474,1067TH,5
8475,1067TK,2
8476,1067TP,8
8477,1067TR,8
8478,1067TT,5
8479,1067TV,5
8480,1067TW,5
8481,1067TX,10
8482,1067TZ,10
8483,1067VA,8
8484,1067VB,2
8485,1067VC,5
8486,1067VD,5
8487,1067VE,8
8488,1067VG,5
8489,1067VH,5
8490,1067VJ,8
8491,1067VK,5
8492,1067VL,8
8493,1067VM,8
8494,1067VN,8
8495,1067VP,8
8496,1067VR,8
8497,1067VS,5
8498,1067VT,8
8499,1067VV,5
8500,1067VW,5
8501,1067VX,11
8502,1067VZ,5
8503,1067WB,4
8504,1067WC,5
8505,1067WD,2
8506,1067WE,5
8507,1067WG,5
8508,1067WH,7
8509,1067WJ,9
8510,1067WK,8
8511,1067WL,9
8512,1067WN,9
8513,1067WP,9
8514,1067WR,9
8515,1067WS,7
8516,1067WT,5
8517,1067WV,7
8518,1067WZ,2
8519,1067XA,2
8520,1067XB,2
8521,1067XC,5
8522,1067XD,2
8523,1067XE,2
8524,1067XG,2
8525,1067XH,7
8526,1067XJ,8
8527,1067XK,2
8528,1067XL,2
8529,1067XM,2
8530,1067XN,5
8531,1067XP,2
8532,1067XR,4
8533,1067XS,5
8534,1067XT,2
8535,1067XV,2
8536,1067XW,4
8537,1067XX,7
8538,1067XZ,2
8539,1067ZA,2
8540,1067ZB,4
8541,1067ZC,5
8542,1067ZD,2
8543,1067ZE,2
8544,1067ZG,2
8545,1067ZH,2
8546,1067ZJ,2
8547,1067ZK,5
8548,1067ZL,2
8549,1067ZM,1
8550,1067ZP,1
8551,1067ZR,4
8552,1067ZS,1
8553,1067ZT,2
8554,1067ZV,2
8555,1067ZW,2
8556,1067ZX,4
8557,1067ZZ,2
8558,1068AA,2
8559,1068AB,2
8560,1068AC,2
8561,1068AD,2
8562,1068AE,2
8563,1068AG,2
8564,1068AH,2
8565,1068AJ,2
8566,1068AK,4
8567,1068AL,2
8568,1068AM,4
8569,1068AN,2
8570,1068AP,4
8571,1068AR,2
8572,1068AS,2
8573,1068AT,2
8574,1068AV,2
8575,1068AW,4
8576,1068AX,5
8577,1068AZ,2
8578,1068BA,2
8579,1068BB,2
8580,1068BC,5
8581,1068BE,2
8582,1068BG,2
8583,1068BH,2
8584,1068BJ,2
8585,1068BK,2
8586,1068BL,2
8587,1068BM,2
8588,1068BN,2
8589,1068BP,2
8590,1068BR,2
8591,1068BS,2
8592,1068BT,2
8593,1068BV,2
8594,1068BW,2
8595,1068BX,2
8596,1068CA,1
8597,1068CB,2
8598,1068CC,5
8599,1068CD,8
8600,1068CE,9
8601,1068CG,8
8602,1068CH,7
8603,1068CJ,9
8604,1068CK,8
8605,1068CL,5
8606,1068CM,5
8607,1068CN,8
8608,1068CP,5
8609,1068CR,8
8610,1068CS,8
8611,1068CT,9
8612,1068CV,8
8613,1068CW,8
8614,1068CX,8
8615,1068CZ,8
8616,1068DA,8
8617,1068DB,5
8618,1068DC,2
8619,1068DD,2
8620,1068DE,5
8621,1068DG,5
8622,1068DH,2
8623,1068DJ,2
8624,1068DK,5
8625,1068DL,2
8626,1068DM,2
8627,1068DN,4
8628,1068DP,2
8629,1068DR,2
8630,1068DS,2
8631,1068DT,1
8632,1068DV,1
8633,1068DW,2
8634,1068DX,2
8635,1068DZ,2
8636,1068EB,2
8637,1068EC,2
8638,1068ED,5
8639,1068EE,2
8640,1068EG,2
8641,1068EH,2
8642,1068EJ,1
8643,1068EK,7
8644,1068EM,8
8645,1068EN,5
8646,1068EP,9
8647,1068ER,9
8648,1068ES,2
8649,1068ET,4
8650,1068EV,4
8651,1068EX,8
8652,1068GA,8
8653,1068GB,5
8654,1068GD,5
8655,1068GE,2
8656,1068GG,5
8657,1068GH,5
8658,1068GJ,4
8659,1068GK,2
8660,1068GL,8
8661,1068GR,2
8662,1068GV,5
8663,1068GW,2
8664,1068GX,2
8665,1068GZ,2
8666,1068HP,4
8667,1068HV,9
8668,1068HZ,8
8669,1068JA,9
8670,1068JB,8
8671,1068JC,8
8672,1068JD,8
8673,1068JE,7
8674,1068JG,7
8675,1068JH,7
8676,1068JJ,2
8677,1068JK,2
8678,1068JL,8
8679,1068JM,5
8680,1068JN,8
8681,1068JP,7
8682,1068JR,4
8683,1068JS,8
8684,1068JT,2
8685,1068JV,2
8686,1068JW,1
8687,1068JX,11
8688,1068JZ,8
8689,1068KA,9
8690,1068KC,9
8691,1068KD,4
8692,1068KE,2
8693,1068KG,5
8694,1068KH,5
8695,1068KJ,5
8696,1068KK,11
8697,1068KL,11
8698,1068KM,11
8699,1068KN,10
8700,1068KP,9
8701,1068KR,10
8702,1068KS,8
8703,1068KT,11
8704,1068KW,2
8705,1068KX,2
8706,1068KZ,2
8707,1068LH,1
8708,1068LJ,2
8709,1068LK,2
8710,1068LL,2
8711,1068LM,2
8712,1068LN,2
8713,1068LP,5
8714,1068LR,2
8715,1068LS,5
8716,1068LT,5
8717,1068LV,5
8718,1068LW,5
8719,1068LX,5
8720,1068LZ,2
8721,1068MA,5
8722,1068MB,5
8723,1068MC,2
8724,1068MD,2
8725,1068ME,1
8726,1068MG,2
8727,1068MK,7
8728,1068MN,2
8729,1068MP,2
8730,1068MS,9
8731,1068MT,1
8732,1068MZ,10
8733,1068NA,10
8734,1068NB,5
8735,1068NC,2
8736,1068ND,5
8737,1068NE,5
8738,1068NG,9
8739,1068NJ,8
8740,1068NK,5
8741,1068NL,8
8742,1068NM,5
8743,1068NN,5
8744,1068NP,4
8745,1068NV,5
8746,1068NW,4
8747,1068NX,2
8748,1068NZ,2
8749,1068PA,5
8750,1068PB,2
8751,1068PC,3
8752,1068PD,4
8753,1068PH,9
8754,1068PJ,5
8755,1068PK,2
8756,1068PL,7
8757,1068PM,9
8758,1068PN,7
8759,1068PP,8
8760,1068RA,5
8761,1068RB,10
8762,1068RC,5
8763,1068RD,2
8764,1068RE,2
8765,1068RG,2
8766,1068RH,4
8767,1068RJ,4
8768,1068RK,2
8769,1068RL,5
8770,1068RM,2
8771,1068RN,5
8772,1068RP,5
8773,1068RR,8
8774,1068RS,5
8775,1068RV,2
8776,1068RW,2
8777,1068RX,5
8778,1068RZ,2
8779,1068SB,2
8780,1068SC,2
8781,1068SE,5
8782,1068SG,7
8783,1068SH,4
8784,1068SJ,2
8785,1068SK,5
8786,1068SL,8
8787,1068SM,7
8788,1068SN,4
8789,1068SP,5
8790,1068ST,8
8791,1068SW,8
8792,1068SX,5
8793,1068SZ,4
8794,1068TB,4
8795,1068TD,2
8796,1068VM,9
8797,1068VN,4
8798,1068VP,2
8799,1068VR,5
8800,1068VS,5
8801,1068VT,4
8802,1068VV,5
8803,1068VW,7
8804,1068VX,7
8805,1068VZ,5
8806,1068WB,2
8807,1068WC,8
8808,1068WD,7
8809,1068WE,5
8810,1068WG,4
8811,1068WH,4
8812,1068WJ,5
8813,1068WK,2
8814,1068WL,8
8815,1068WN,7
8816,1068WP,8
8817,1068WR,8
8818,1068WS,9
8819,1068WT,8
8820,1068WV,8
8821,1068WX,8
8822,1068WZ,9
8823,1068XA,8
8824,1068XB,2
8825,1068XC,4
8826,1068XD,2
8827,1068XE,4
8828,1068XG,2
8829,1068XH,4
8830,1068XJ,2
8831,1068XK,4
8832,1068XL,2
8833,1068XM,2
8834,1068XN,2
8835,1068XP,5
8836,1068XR,2
8837,1068XS,2
8838,1068XT,2
8839,1068XV,2
8840,1068XW,2
8841,1068XX,2
8842,1068XZ,4
8843,1068ZA,5
8844,1068ZB,5
8845,1068ZC,5
8846,1068ZD,2
8847,1068ZE,4
8848,1068ZG,5
8849,1068ZH,5
8850,1068ZJ,2
8851,1068ZT,8
8852,1068ZV,7
8853,1068ZW,4
8854,1068ZX,8
8855,1068ZZ,7
8856,1069AA,5
8857,1069AC,2
8858,1069AD,2
8859,1069AE,4
8860,1069AG,2
8861,1069AL,4
8862,1069AT,4
8863,1069BB,2
8864,1069BC,2
8865,1069BD,1
8866,1069BE,1
8867,1069BG,1
8868,1069BH,2
8869,1069BJ,2
8870,1069BK,2
8871,1069BL,1
8872,1069BM,4
8873,1069BN,2
8874,1069BP,2
8875,1069BR,2
8876,1069BS,2
8877,1069BT,2
8878,1069BV,2
8879,1069BX,4
8880,1069CC,1
8881,1069CL,9
8882,1069CW,2
8883,1069CZ,2
8884,1069DA,4
8885,1069DG,2
8886,1069DH,2
8887,1069DJ,2
8888,1069DK,2
8889,1069DL,4
8890,1069DM,2
8891,1069DP,2
8892,1069DR,5
8893,1069DT,4
8894,1069DV,4
8895,1069DW,4
8896,1069DX,5
8897,1069EB,2
8898,1069EC,7
8899,1069ED,7
8900,1069EE,7
8901,1069EG,7
8902,1069EH,7
8903,1069EJ,2
8904,1069EK,5
8905,1069EL,5
8906,1069EM,5
8907,1069EN,7
8908,1069ER,7
8909,1069ES,5
8910,1069ET,8
8911,1069EV,5
8912,1069EW,5
8913,1069EX,8
8914,1069GA,7
8915,1069GB,5
8916,1069GC,4
8917,1069GD,1
8918,1069GE,4
8919,1069GG,4
8920,1069GH,8
8921,1069GJ,8
8922,1069GK,8
8923,1069GL,5
8924,1069GM,2
8925,1069GN,2
8926,1069GP,2
8927,1069GR,2
8928,1069GS,7
8929,1069GT,1
8930,1069GV,4
8931,1069GZ,4
8932,1069HB,2
8933,1069HD,2
8934,1069HK,4
8935,1069HM,4
8936,1069HN,7
8937,1069HP,2
8938,1069HT,4
8939,1069HV,5
8940,1069HX,1
8941,1069HZ,1
8942,1069JA,1
8943,1069JC,2
8944,1069JR,5
8945,1069JT,5
8946,1069KA,7
8947,1069KB,7
8948,1069KD,8
8949,1069KE,9
8950,1069KG,5
8951,1069KJ,5
8952,1069KS,5
8953,1069KV,2
8954,1069KW,4
8955,1069LA,4
8956,1069LB,8
8957,1069LC,7
8958,1069LD,7
8959,1069LE,8
8960,1069LG,8
8961,1069LH,8
8962,1069LK,8
8963,1069LL,11
8964,1069LN,8
8965,1069LW,8
8966,1069MC,9
8967,1069ME,9
8968,1069MG,10
8969,1069MH,8
8970,1069MK,8
8971,1069MS,2
8972,1069MT,2
8973,1069MV,2
8974,1069MX,2
8975,1069MZ,4
8976,1069NB,7
8977,1069NC,7
8978,1069ND,4
8979,1069NE,4
8980,1069NG,9
8981,1069NH,2
8982,1069NJ,7
8983,1069NK,5
8984,1069NL,8
8985,1069NM,7
8986,1069NN,5
8987,1069NP,8
8988,1069NR,5
8989,1069NS,8
8990,1069NT,5
8991,1069NV,8
8992,1069NW,4
8993,1069NX,9
8994,1069NZ,4
8995,1069PA,9
8996,1069PB,4
8997,1069PD,7
8998,1069PE,4
8999,1069PG,7
9000,1069PH,9
9001,1069PJ,7
9002,1069PK,4
9003,1069PL,7
9004,1069PM,4
9005,1069PN,10
9006,1069PP,4
9007,1069PR,7
9008,1069PS,4
9009,1069PT,7
9010,1069PV,7
9011,1069PW,5
9012,1069PX,4
9013,1069RA,4
9014,1069RB,2
9015,1069RC,4
9016,1069RD,5
9017,1069RE,8
9018,1069RG,4
9019,1069RH,5
9020,1069RJ,4
9021,1069RL,7
9022,1069RM,8
9023,1069RN,2
9024,1069RR,8
9025,1069RS,8
9026,1069RT,7
9027,1069RV,7
9028,1069SC,9
9029,1069SE,7
9030,1069SG,2
9031,1069SH,10
9032,1069SR,2
9033,1069SZ,4
9034,1069TD,9
9035,1069TK,4
9036,1069TN,4
9037,1069TP,2
9038,1069TR,7
9039,1069TS,4
9040,1069TT,5
9041,1069TW,2
9042,1069TZ,7
9043,1069VA,5
9044,1069VC,2
9045,1069VD,2
9046,1069VE,2
9047,1069VG,5
9048,1069VH,5
9049,1069VJ,5
9050,1069VK,5
9051,1069VL,2
9052,1069VM,5
9053,1069VN,4
9054,1069VR,5
9055,1069VS,5
9056,1069VT,3
9057,1069VV,5
9058,1069VW,7
9059,1069VX,7
9060,1069VZ,5
9061,1069WB,3
9062,1069WC,5
9063,1069WD,5
9064,1069WE,2
9065,1069WG,4
9066,1069WH,1
9067,1069WJ,5
9068,1069WL,2
9069,1069WN,2
9070,1069WP,2
9071,1069WR,5
9072,1069WS,1
9073,1069WT,1
9074,1069WV,1
9075,1069WX,2
9076,1069XG,2
9077,1069XH,2
9078,1069XJ,2
9079,1069XK,2
9080,1069XL,2
9081,1069XM,2
9082,1069XN,2
9083,1069XP,2
9084,1069XR,2
9085,1069XS,4
9086,1069XT,2
9087,1069XV,4
9088,1069XW,2
9089,1069XX,2
9090,1069XZ,1
9091,1069ZA,2
9092,1069ZB,2
9093,1069ZC,2
9094,1069ZD,2
9095,1069ZE,2
9096,1069ZG,2
9097,1069ZH,2
9098,1069ZJ,2
9099,1069ZK,2
9100,1069ZL,2
9101,1069ZM,2
9102,1069ZN,2
9103,1069ZP,2
9104,1069ZR,7
9105,1069ZZ,2
9106,1071AB,11
9107,1071AC,9
9108,1071AG,11
9109,1071AH,11
9110,1071AJ,11
9111,1071AK,11
9112,1071AR,10
9113,1071AS,7
9114,1071AT,8
9115,1071AV,7
9116,1071AW,11
9117,1071AX,8
9118,1071BA,9
9119,1071BB,5
9120,1071BC,10
9121,1071BD,8
9122,1071BE,11
9123,1071BG,10
9124,1071BH,8
9125,1071BJ,9
9126,1071BL,8
9127,1071BM,11
9128,1071BN,8
9129,1071BR,10
9130,1071BS,8
9131,1071BT,9
9132,1071BV,10
9133,1071CA,2
9134,1071CB,9
9135,1071CD,10
9136,1071CE,8
9137,1071CG,7
9138,1071CH,11
9139,1071CJ,11
9140,1071CL,2
9141,1071CP,11
9142,1071CR,10
9143,1071CS,11
9144,1071CT,8
9145,1071CV,8
9146,1071DH,10
9147,1071DK,1
9148,1071DL,2
9149,1071DM,11
9150,1071DN,11
9151,1071DP,10
9152,1071DS,5
9153,1071DT,10
9154,1071DV,11
9155,1071DX,8
9156,1071EB,11
9157,1071EC,11
9158,1071ED,11
9159,1071EE,9
9160,1071EG,8
9161,1071EH,11
9162,1071EJ,11
9163,1071EK,11
9164,1071EL,11
9165,1071EM,11
9166,1071EN,10
9167,1071EP,10
9168,1071ER,9
9169,1071ES,5
9170,1071ET,8
9171,1071EV,11
9172,1071EW,11
9173,1071EX,7
9174,1071EZ,11
9175,1071GA,11
9176,1071GB,11
9177,1071GC,11
9178,1071GD,11
9179,1071GE,10
9180,1071GG,11
9181,1071GH,11
9182,1071GJ,11
9183,1071GM,11
9184,1071GP,10
9185,1071GR,8
9186,1071GS,11
9187,1071GV,11
9188,1071GW,11
9189,1071GX,11
9190,1071HB,10
9191,1071HC,11
9192,1071HE,11
9193,1071HH,11
9194,1071HM,10
9195,1071HN,10
9196,1071HP,11
9197,1071HV,10
9198,1071HW,9
9199,1071JA,10
9200,1071JB,5
9201,1071JC,10
9202,1071JD,9
9203,1071JG,9
9204,1071JH,10
9205,1071JJ,5
9206,1071JL,8
9207,1071JM,11
9208,1071JN,11
9209,1071JR,11
9210,1071JV,11
9211,1071JX,11
9212,1071JZ,1
9213,1071KA,11
9214,1071KB,11
9215,1071KD,10
9216,1071KG,11
9217,1071KJ,10
9218,1071KK,10
9219,1071KL,11
9220,1071KM,10
9221,1071KN,11
9222,1071KP,9
9223,1071KS,9
9224,1071KT,11
9225,1071KV,11
9226,1071KW,5
9227,1071KX,9
9228,1071KZ,10
9229,1071LA,11
9230,1071LB,11
9231,1071LC,11
9232,1071LD,10
9233,1071LE,11
9234,1071LG,11
9235,1071LH,11
9236,1071LK,2
9237,1071LN,1
9238,1071LP,8
9239,1071LR,11
9240,1071LS,10
9241,1071LT,10
9242,1071LV,8
9243,1071LW,11
9244,1071LX,11
9245,1071LZ,11
9246,1071MA,10
9247,1071MB,9
9248,1071MC,11
9249,1071MD,11
9250,1071ME,8
9251,1071MG,8
9252,1071MH,11
9253,1071MJ,11
9254,1071MK,11
9255,1071ML,11
9256,1071MN,5
9257,1071MP,11
9258,1071MR,9
9259,1071MS,11
9260,1071MT,11
9261,1071MV,11
9262,1071MX,10
9263,1071MZ,11
9264,1071NA,10
9265,1071NB,10
9266,1071NC,11
9267,1071ND,11
9268,1071NE,11
9269,1071NG,11
9270,1071NJ,11
9271,1071NK,10
9272,1071NL,9
9273,1071NM,11
9274,1071NP,10
9275,1071NR,10
9276,1071NS,8
9277,1071NX,11
9278,1071NZ,5
9279,1071PB,9
9280,1071PC,8
9281,1071PD,11
9282,1071PG,11
9283,1071PH,9
9284,1071PJ,11
9285,1071PK,5
9286,1071PL,10
9287,1071PM,11
9288,1071PN,8
9289,1071PP,11
9290,1071PR,11
9291,1071PS,11
9292,1071PT,8
9293,1071PV,11
9294,1071PW,10
9295,1071PX,8
9296,1071PZ,8
9297,1071RA,10
9298,1071RB,7
9299,1071RC,10
9300,1071RD,11
9301,1071RE,10
9302,1071RG,10
9303,1071RH,8
9304,1071RJ,11
9305,1071RK,11
9306,1071RL,11
9307,1071RM,10
9308,1071RN,10
9309,1071RP,11
9310,1071RR,11
9311,1071RS,11
9312,1071RT,11
9313,1071RV,11
9314,1071RW,11
9315,1071RX,11
9316,1071RZ,11
9317,1071SB,11
9318,1071SC,8
9319,1071SE,11
9320,1071SJ,11
9321,1071SN,10
9322,1071SP,8
9323,1071SR,8
9324,1071ST,10
9325,1071SV,8
9326,1071SW,9
9327,1071SX,11
9328,1071SZ,11
9329,1071TC,9
9330,1071TD,9
9331,1071TE,9
9332,1071TG,8
9333,1071TH,5
9334,1071TJ,9
9335,1071TK,11
9336,1071TL,8
9337,1071TM,9
9338,1071TN,9
9339,1071TP,8
9340,1071TR,11
9341,1071TS,5
9342,1071TT,4
9343,1071TV,8
9344,1071TW,10
9345,1071TX,9
9346,1071TZ,9
9347,1071VA,9
9348,1071VB,9
9349,1071VC,5
9350,1071VD,9
9351,1071VE,10
9352,1071VG,10
9353,1071VH,2
9354,1071VJ,5
9355,1071VK,5
9356,1071VL,8
9357,1071VM,9
9358,1071VN,5
9359,1071VP,8
9360,1071VR,7
9361,1071VS,8
9362,1071VT,11
9363,1071VV,9
9364,1071VW,7
9365,1071VX,11
9366,1071VZ,8
9367,1071WB,8
9368,1071WC,8
9369,1071WD,8
9370,1071WE,8
9371,1071WG,8
9372,1071WH,8
9373,1071WJ,10
9374,1071WK,7
9375,1071WL,5
9376,1071WN,9
9377,1071WP,8
9378,1071WR,10
9379,1071WS,7
9380,1071WT,8
9381,1071WV,5
9382,1071WX,9
9383,1071WZ,8
9384,1071XA,9
9385,1071XB,5
9386,1071XC,10
9387,1071XD,8
9388,1071XE,9
9389,1071XG,10
9390,1071XH,7
9391,1071XJ,9
9392,1071XK,10
9393,1071XL,8
9394,1071XM,5
9395,1071XN,9
9396,1071XP,8
9397,1071XR,10
9398,1071XS,8
9399,1071XT,9
9400,1071XV,8
9401,1071XW,10
9402,1071ZA,5
9403,1071ZE,8
9404,1071ZG,11
9405,1071ZH,11
9406,1071ZJ,8
9407,1071ZK,8
9408,1071ZL,11
9409,1071ZM,11
9410,1071ZN,9
9411,1071ZP,11
9412,1071ZR,11
9413,1071ZS,10
9414,1071ZT,11
9415,1071ZV,11
9416,1071ZW,11
9417,1071ZX,5
9418,1071ZZ,11
9419,1072AA,5
9420,1072AB,6
9421,1072AC,10
9422,1072AD,9
9423,1072AE,5
9424,1072AG,8
9425,1072AH,10
9426,1072AJ,11
9427,1072AK,8
9428,1072AL,5
9429,1072AM,5
9430,1072AN,5
9431,1072AP,8
9432,1072AR,8
9433,1072AS,5
9434,1072AT,8
9435,1072AV,7
9436,1072AW,9
9437,1072AX,7
9438,1072AZ,8
9439,1072BB,2
9440,1072BC,8
9441,1072BD,8
9442,1072BE,5
9443,1072BG,5
9444,1072BH,7
9445,1072BJ,8
9446,1072BK,10
9447,1072BL,2
9448,1072BM,4
9449,1072BN,8
9450,1072BP,5
9451,1072BR,7
9452,1072BS,8
9453,1072BT,8
9454,1072BV,8
9455,1072BW,7
9456,1072BX,9
9457,1072BZ,8
9458,1072CA,8
9459,1072CB,8
9460,1072CC,5
9461,1072CD,7
9462,1072CE,4
9463,1072CG,7
9464,1072CH,4
9465,1072CJ,2
9466,1072CK,2
9467,1072CL,5
9468,1072CM,7
9469,1072CN,4
9470,1072CP,5
9471,1072CR,5
9472,1072CS,4
9473,1072CT,1
9474,1072CV,7
9475,1072CW,2
9476,1072CX,5
9477,1072CZ,4
9478,1072DA,2
