,PC6,M_INKHH
880,1015MA,5
881,1015MH,5
882,1015MJ,8
883,1015MK,5
884,1015ML,5
885,1015MN,8
886,1015MP,2
887,1015MR,2
888,1015MS,2
889,1015MT,7
890,1015MV,9
891,1015MX,7
892,1015MZ,4
893,1015NA,8
894,1015NB,5
895,1015NC,5
896,1015ND,4
897,1015NE,4
898,1015NG,7
899,1015NH,7
900,1015NJ,4
901,1015NK,8
902,1015NL,5
903,1015NP,10
904,1015NR,8
905,1015NS,2
906,1015NT,8
907,1015NV,9
908,1015NX,2
909,1015NZ,2
910,1015PA,2
911,1015PB,7
912,1015PC,11
913,1015PD,5
914,1015PE,7
915,1015PG,4
916,1015PH,2
917,1015PJ,5
918,1015PK,5
919,1015PL,4
920,1015PM,1
921,1015PN,2
922,1015PP,2
923,1015PR,5
924,1015PS,5
925,1015PT,5
926,1015PV,4
927,1015PW,9
928,1015PX,5
929,1015PZ,2
930,1015RA,5
931,1015RB,7
932,1015RC,8
933,1015RD,8
934,1015RE,8
935,1015RG,5
936,1015RH,10
937,1015RJ,8
938,1015RK,8
939,1015RL,9
940,1015RM,8
941,1015RR,9
942,1015RS,5
943,1015RT,5
944,1015RV,11
945,1015RW,2
946,1015RX,8
947,1015RZ,4
948,1015SB,5
949,1015SE,5
950,1015SG,2
951,1015SH,5
952,1015SJ,5
953,1015SK,7
954,1015SL,7
955,1015SM,11
956,1015SN,2
957,1015SP,5
958,1015SR,2
959,1015ST,5
960,1015SV,8
961,1015SW,5
962,1015SX,8
963,1015SZ,5
964,1015TA,5
965,1015TB,9
966,1015TC,8
967,1015TD,2
968,1015TE,11
969,1015TH,5
970,1015TJ,9
971,1015TL,5
972,1015TM,5
973,1015TP,8
974,1015TR,10
975,1015TT,11
976,1015TV,2
977,1015TW,2
978,1015TX,2
979,1015VA,2
980,1015VB,2
981,1015VC,8
982,1015VD,11
983,1015VE,5
984,1015VG,8
985,1015VH,10
986,1015VJ,2
987,1015VK,2
988,1015VL,4
989,1015VM,7
990,1015VN,4
991,1015VP,5
992,1015VR,4
